Date,Close,Price_Change,MACD,KD_diff,RSI,MA_5_to_10,MA_10_to_20,MA_5_to_20
2020/09/21,18.0,-0.25,-0.05899231283491346,-0.07909931227589143,36.36363636363639,-0.014999999999997016,-0.03750000000000142,-0.05249999999999844
2020/09/22,17.75,-0.05000000000000071,-0.09539610239387386,-0.06886205344457565,29.629629629629676,-0.05999999999999872,-0.057500000000000995,-0.11749999999999972
2020/09/23,17.7,-0.5500000000000007,-0.12681905885865774,-0.04492055870893605,23.076923076923265,-0.13999999999999702,-0.07250000000000156,-0.21249999999999858
2020/09/24,17.15,0.15000000000000213,-0.19386759672869047,-0.04437171201445904,18.181818181818343,-0.2550000000000061,-0.12999999999999545,-0.38500000000000156
2020/09/25,17.3,0.3999999999999986,-0.23222337315987218,-0.0031415723372246046,22.857142857143046,-0.3550000000000004,-0.18000000000000327,-0.5350000000000037
2020/09/28,17.7,-0.05000000000000071,-0.2277189430343327,0.08795135566638987,35.71428571428574,-0.360000000000003,-0.19999999999999574,-0.5599999999999987
2020/09/29,17.65,0.15000000000000213,-0.22558334743130715,0.07873674875069586,36.58536585365857,-0.3200000000000003,-0.2275000000000027,-0.547500000000003
2020/09/30,17.8,0.05000000000000071,-0.20937359762915264,0.08674890983409883,38.095238095238145,-0.24499999999999744,-0.2575000000000003,-0.5024999999999977
2020/10/05,17.85,0.34999999999999787,-0.19029902330975546,0.077064722646425,39.534883720930296,-0.05999999999999872,-0.2749999999999986,-0.3349999999999973
2020/10/06,18.2,-0.1999999999999993,-0.14526567849188154,0.12537749518789987,48.979591836734684,0.129999999999999,-0.2849999999999966,-0.15499999999999758
2020/10/07,18.0,0.1999999999999993,-0.12428211000503353,0.06611131452629382,45.28301886792454,0.18999999999999773,-0.2724999999999973,-0.08249999999999957
2020/10/08,18.2,0.0,-0.09047125594833005,0.07476694072931866,47.27272727272724,0.25499999999999545,-0.2224999999999966,0.03249999999999886
2020/10/12,18.2,-0.09999999999999787,-0.0629502591124691,0.07649998166296224,48.14814814814812,0.2849999999999966,-0.17249999999999943,0.11249999999999716
2020/10/13,18.1,0.04999999999999716,-0.04864805066144129,0.04545646782450663,46.428571428571445,0.240000000000002,-0.067499999999999,0.17250000000000298
2020/10/14,18.15,-0.14999999999999858,-0.032899618961501176,0.04851761959491274,52.94117647058822,0.14500000000000313,0.02499999999999858,0.1700000000000017
2020/10/15,18.0,-0.10000000000000142,-0.03215199163008009,0.0014392169245007747,55.102040816326536,0.11500000000000554,0.06749999999999545,0.182500000000001
2020/10/16,17.9,-0.09999999999999787,-0.03917704723503235,-0.03449971178375155,54.0,0.030000000000001137,0.10999999999999943,0.14000000000000057
2020/10/19,17.8,0.05000000000000071,-0.05221175407953993,-0.06343094458630483,65.85365853658547,-0.04999999999999716,0.1374999999999993,0.08750000000000213
2020/10/20,17.85,0.0,-0.05784052150381669,-0.07147268330703327,64.10256410256417,-0.09999999999999787,0.16000000000000014,0.060000000000002274
2020/10/21,17.85,0.25,-0.06159137322934427,-0.08478161382712401,54.838709677419445,-0.12499999999999645,0.14750000000000085,0.022500000000004405
2020/10/22,18.1,-0.15000000000000213,-0.04388515878946819,0.03725322366630135,62.85714285714299,-0.11499999999999844,0.15249999999999986,0.03750000000000142
2020/10/23,17.95,0.10000000000000142,-0.04147846475492756,-0.0387735950991408,54.28571428571427,-0.0799999999999983,0.11750000000000327,0.037500000000004974
2020/10/26,18.05,-0.05000000000000071,-0.031142981226388144,0.007468654539840247,55.55555555555556,-0.015000000000000568,0.08500000000000085,0.07000000000000028
2020/10/27,18.0,-0.10000000000000142,-0.026679078390902333,-0.010615724463152731,43.33333333333334,0.025000000000005684,0.03249999999999531,0.057500000000000995
2020/10/28,17.9,-0.25,-0.03085489151533949,-0.06803844365366929,46.42857142857138,0.05999999999999872,-0.0224999999999973,0.03750000000000142
2020/10/29,17.65,0.10000000000000142,-0.05371793722234841,-0.12788451253788152,31.034482758620655,0.004999999999999005,-0.054999999999999716,-0.05000000000000071
2020/10/30,17.75,0.25,-0.06304120166832305,-0.04837490162446312,35.483870967741964,-0.020000000000003126,-0.07499999999999574,-0.09499999999999886
2020/11/02,18.0,0.10000000000000142,-0.04968431538903317,0.0877628931766743,47.05882352941173,-0.05000000000000071,-0.06500000000000128,-0.11500000000000199
2020/11/03,18.1,0.04999999999999716,-0.030676107444989498,0.14152328524945745,48.57142857142866,-0.054999999999999716,-0.05250000000000199,-0.1075000000000017
2020/11/04,18.15,0.10000000000000142,-0.011445447574924827,0.12118512605785159,54.54545454545448,-0.03500000000000014,-0.019999999999999574,-0.054999999999999716
2020/11/05,18.25,0.05000000000000071,0.011728949161735613,0.10503507397625678,60.606060606060616,0.07000000000000028,-0.017499999999998295,0.05250000000000199
2020/11/06,18.3,0.05000000000000071,0.03374046855186208,0.07473879246179393,65.62499999999991,0.14500000000000313,0.012499999999995737,0.15749999999999886
2020/11/09,18.35,0.25,0.05459005817601437,0.03377414161478931,65.62499999999991,0.18499999999999872,0.035000000000003695,0.22000000000000242
2020/11/10,18.6,0.4499999999999993,0.09024611775988234,0.029795325852281174,70.27027027027017,0.22500000000000142,0.06999999999999673,0.29499999999999815
